"feature","chi_sq","p_value","sig","MeanDecreaseAccuracy"
"account_status",123.721,0,"***",26.5458889658943
"credit_history",61.691,0,"***",11.056980837298
"property",23.72,0,"***",7.74906845369792
"savings",36.099,0,"***",6.25223151648358
"employment_duration",18.368,0.001,"**",2.30355575820281
"occupation",1.885,0.5966,"",0.464433362517368
"foreign_worker",5.822,0.0158,"*",NA
"housing",18.2,1e-04,"***",NA
"loan_purpose",NA,1e-04,"***",NA
"marital_status",NA,0.0249,"*",NA
"other_debtors",6.645,0.0361,"*",NA
"other_installment_plans",12.839,0.0016,"**",NA
"telephone",1.173,0.2789,"",NA
